question,document
What’s the best place to start if I want the most up-to-date LLM Zoomcamp lectures?,31456f4b5f
Are the videos posted somewhere inside each lesson page in the course repo?,31456f4b5f
Where should I go to see the LLM Zoomcamp syllabus and keep track of the current cohort structure?,20c5a1347e
"Is there one platform for homework, deadlines, and progress tracking in LLM Zoomcamp?",20c5a1347e
How do I follow the course schedule and check what’s due next in LLM Zoomcamp?,20c5a1347e
What’s the official place to monitor my progress and homework for this Zoomcamp?,20c5a1347e
"Do I need a separate site, or is there a course management platform for all LLM Zoomcamp updates?",20c5a1347e
"Do we get live office hours for every module in LLM Zoomcamp, or are the lessons just pre-recorded?",d65e05bd7a
"If there isn’t a live session for a module, where should I ask for help when I’m stuck?",d65e05bd7a
How do I know when a live session is happening for the course?,d65e05bd7a
Is there any extra paid option that includes regular Zoom office hours and more support?,d65e05bd7a
Does joining the optional support community change anything about the free course content?,d65e05bd7a
Can I count Bluesky posts toward the learning in public requirement?,dbf5369006
Do Bluesky posts qualify for learning in public credits in this course?,dbf5369006
Is Bluesky accepted for earning learning in public credits?,dbf5369006
Can I use a post on Bluesky as part of my learning in public credits?,dbf5369006
Are Bluesky updates allowed when claiming learning in public credit?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I find the course Telegram group for announcements?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
What’s the best place for announcements versus technical discussion in LLM Zoomcamp?,054f3fd58f
Why do I get a different number of FAQ records than the one shown in the video?,e2d595f23c
Is it normal if the FAQ dataset count doesn't match the course recording?,e2d595f23c
Why did the number of questions in the live FAQ data change since the videos were made?,e2d595f23c
The FAQ dataset size is not the same as in the lecture — what's going on?,e2d595f23c
Should I expect the FAQ records to be different when I run the code now?,e2d595f23c
"The homework deadline already passed, but the submission form is still open — can I still turn it in?",a9353fadfe
"If the deadline is over and the form hasn’t closed yet, is it okay to submit my homework?",a9353fadfe
Can I submit the assignment after the deadline as long as the submission page is still open?,a9353fadfe
Does the listed deadline matter if the homework form is still available for submissions?,a9353fadfe
When is homework submission actually closed — at the deadline or only when the form is closed?,a9353fadfe
"Can I still send in homework after the deadline, or is the form closed for good?",cdc3b285e5
Do you ever give one-on-one deadline extensions for homework if someone misses it?,cdc3b285e5
"If I miss a homework, does that hurt my chance to get the certificate?",cdc3b285e5
"Are homework assignments required for passing the course, or only the Capstone project matters?",cdc3b285e5
"If the homework deadline passed but the submission form is still open, can I submit it anyway?",cdc3b285e5
"Is the name I enter for the certificate visible to everyone online, or is it kept private?",651ba06b34
"What name shows up on the public leaderboard, and is it the same as the certificate name?",651ba06b34
Can I use a real name on the certificate but stay anonymous on the leaderboard?,651ba06b34
"In Edit Course Profile, which field is for the public nickname and which one is for the certificate?",651ba06b34
"Will my certificate name be shared with third parties, or only printed on the certificate itself?",651ba06b34
Why doesn't this course start with LangChain for RAG apps?,b7cdde6b25
"What’s the reason we build retrieval, prompting, and evaluation by hand before using a framework?",b7cdde6b25
"Is LangChain required in this module, or are we supposed to learn the basics first?",b7cdde6b25
Why do we avoid relying on LLM frameworks at the beginning of the course?,b7cdde6b25
What’s the benefit of learning the core RAG pieces ourselves before using tools like LangChain?,b7cdde6b25
Why am I getting an Insufficient credits error when I run OpenAI responses.create?,f5df151c59
What does it mean if the OpenAI API says I have insufficient credits?,f5df151c59
How do I fix the OpenAI API error about not having enough credits?,f5df151c59
Is the responses.create command failing because my OpenAI account has no credit left?,f5df151c59
What should I check when OpenAI responses.create returns an Insufficient credits message?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Do I need to add money to my OpenAI account to fix the quota error, or is there any free tier for the API?",152af39a53
What should I check in my OpenAI account when the error says I exceeded my current quota?,152af39a53
How do I choose a model in responses.create if the one in my code isn’t available to me?,152af39a53
"After topping up billing, do I need to make a new API key before trying the request again?",152af39a53
How much money do I need to spend to use the OpenAI API for this course?,554d0eb78b
Do I need to pay a lot before I can start using the OpenAI API?,554d0eb78b
What's the minimum I should recharge to try the OpenAI API in the course?,554d0eb78b
Is using the OpenAI API for the RAG module expensive or just a few cents?,554d0eb78b
Roughly how much will OpenAI API usage cost me when following the course?,554d0eb78b
"Do I need to pay for the OpenAI API to finish the LLM Zoomcamp homework, or are there free options I can use instead?",85384a18e5
"If I don't want to subscribe to OpenAI, what alternatives are recommended for this course?",85384a18e5
Can I complete the Module 1 RAG assignments without buying OpenAI API access?,85384a18e5
Where in the course materials can I find cheaper or free replacements for the OpenAI API?,85384a18e5
"Is paying for OpenAI required anywhere in the homework, or can I avoid it by using other providers?",85384a18e5
Why does the course recommend uv over pip and virtualenv for setup?,f81dea8f7e
What is uv actually doing that normally needs several Python tools?,f81dea8f7e
"Do I have to switch to uv, or can I keep using pip and virtualenv?",f81dea8f7e
"Is uv mainly chosen because it is faster, or does it also handle environments and dependencies better?",f81dea8f7e
What makes uv simpler for the course compared with the usual Python workflow?,f81dea8f7e
"Why does my notebook keep saying OPENAI_API_KEY is missing, even though I added it to .env?",86d99bbf21
Do I need python-dotenv for Jupyter to read my OpenAI key from an env file?,86d99bbf21
Where should I call load_dotenv() in the notebook so the API key is available before I create the client?,86d99bbf21
Could this be happening because I named the variable something other than OPENAI_API_KEY in my .env file?,86d99bbf21
What’s the right way to load environment variables in a Jupyter notebook before using OpenAI?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python with python-dotenv?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY from a .env file?,233dabe430
Do I need to add .env to .gitignore when storing secret keys for the RAG project?,233dabe430
How can I read environment variables from a .env file using load_dotenv and os.getenv?,233dabe430
What’s the recommended way in the course to save API keys locally without committing them to Git?,233dabe430
"Can I switch to a different model or API provider for the homework, or do I have to use the one in the instructions?",ee43413718
"Is it okay if I use something like Gemini, Groq, Azure OpenAI, OpenRouter, or even a local model instead of the recommended setup?",ee43413718
"Do I need a paid service to complete the homework, or is there a way to do it for free?",ee43413718
"If I choose another provider, what kinds of code changes should I expect to make for things like response format or tokenization?",ee43413718
Where can I find a list of OpenAI API alternatives or other model/provider options for this course?,ee43413718
How do I set up Gemini in the Module 1 notebook using the OpenAI-compatible endpoint?,0ae5c221b9
What do I need in my .env file to call Google Gemini from the notebook?,0ae5c221b9
How do I create an OpenAI client for Gemini with the right base URL?,0ae5c221b9
Which Gemini model name should I pass when using chat.completions in the course notebook?,0ae5c221b9
Why does the notebook code need changes if I switch from Responses to the OpenAI-style chat completions API?,0ae5c221b9
How do I get a Pydantic response from Gemini if `responses.parse` doesn’t work on the OpenAI-compatible URL?,341f71f28c
Is there a way to use the OpenAI SDK with Gemini and still have parsed structured output?,341f71f28c
What should I use instead of the newer Responses API when I want Gemini to return a Pydantic model?,341f71f28c
How can I set up `chat.completions.parse` for Gemini with a custom `response_format`?,341f71f28c
"Do I need to manually load JSON, or can I get parsed FAQ objects directly from Gemini through the OpenAI endpoint?",341f71f28c
"How do I install Ollama on my machine, like on Mac, Windows, or Linux?",1d0b969028
What’s the quickest way to get Ollama set up and run a model for the first time?,1d0b969028
"After installing Ollama, how can I check if the local server is actually running?",1d0b969028
How do I install the Ollama Python package and call it from a simple script?,1d0b969028
"Once Ollama is installed, what command should I use to start a local chat with Llama 3?",1d0b969028
How do I fix a connection refused error when I’m prompting my Ollama RAG for the homework?,c6fc2d4d11
My Ollama server seems down and I get connection refused — what should I restart?,c6fc2d4d11
What’s the command to bring Ollama back up if it refuses the connection during the notebook run?,c6fc2d4d11
Do I need to rerun the ollama serve cell after stopping and starting it again?,c6fc2d4d11
"If my RAG homework gets a refused connection from Ollama, what’s the quickest way to recover?",c6fc2d4d11
Why do I get a different token count from `tiktoken.encode()` than the number OpenAI shows in the API response?,bf0403d21b
"In chat completions, what hidden tokens does OpenAI add around each message and at the start of the assistant reply?",bf0403d21b
"If my prompt looks like 320 tokens locally, how can OpenAI end up counting 327 instead?",bf0403d21b
"Can extra newlines, spaces, or weird Unicode change the token total in OpenAI calls?",bf0403d21b
"Does the token count in `chat.completions.create()` include the chat formatting, or only the text I can see?",bf0403d21b
How can I set my API key once so I don’t need to export it in every new terminal?,8b2f5e9d04
Is there a tool like direnv that loads .env automatically when I enter a project folder?,8b2f5e9d04
What’s the easiest way to keep my OPENAI_API_KEY out of the repo and have it picked up on cd?,8b2f5e9d04
"If I’m using Codespaces, should I still put secrets in a .env file or is there a better option?",8b2f5e9d04
"For a Python script, how do I load environment variables from a .env file without hardcoding them?",8b2f5e9d04
What's the best way to decide the field weights in minsearch or a similar search setup?,87d4ea4e08
"If I want to tune search weights, do I just tweak them by hand, or is there a better method?",87d4ea4e08
How can I tell which weight combination works best for my search engine fields?,87d4ea4e08
"Should I use a test set and retrieval metrics to pick field weights, and if so, how?",87d4ea4e08
"For a small RAG project, is it okay to adjust field weights by trial and error, or should I build an evaluation set first?",87d4ea4e08
What should I do first when preparing documents for RAG so the retrieval works better?,649c280e6d
How do I clean my source files for RAG without losing useful context like titles or page numbers?,649c280e6d
"Do I need to put RAG documents into JSON, or is another format okay too?",649c280e6d
What kind of chunking works best for documents before indexing them for retrieval?,649c280e6d
Which metadata is worth keeping when I prepare documents for a RAG pipeline?,649c280e6d
"In GitHub Codespaces, why does uv say it failed to hardlink files — is something broken, or does it still install the packages anyway?",acf8fa5356
How do I get rid of the uv hardlink warning just for my current terminal session?,acf8fa5356
What’s the easiest way to make uv always use copy mode in Codespaces instead of showing the hardlink warning every time?,acf8fa5356
"Does uv switch to copying automatically when hardlinking isn’t possible, or do I need to set something myself?",acf8fa5356
Where can I read more about uv’s link modes and this hardlink/copy behavior?,acf8fa5356
I'm getting an error that dotenv is not recognized in my RAG project — what package do I need to install?,0bed1f48da
What should I add with uv if `dotenv` isn't found in Python?,0bed1f48da
"Is `dotenv` part of Python, or do I need to install something extra to use `load_dotenv()`?",0bed1f48da
How do I set up environment variable loading when `from dotenv import load_dotenv` fails?,0bed1f48da
Which dependency fixes the 'dotenv is not recognized' issue in Module 1?,0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or just the simplest option to get started?",aa310de435
What do I need installed if I want to run the module locally?,aa310de435
"If I set everything up on my laptop, do I need to keep track of the environment somehow?",aa310de435
Is it okay to skip Codespaces as long as my local setup is reproducible?,aa310de435
"If I keep working in Codespaces and never commit, where does my code actually live?",610ccb23c0
Is code in Codespaces automatically safe even if I don't push it to GitHub?,610ccb23c0
What happens to my files in a Codespace if the VM gets stopped or deleted?,610ccb23c0
Do I really need to commit often when using GitHub Codespaces?,610ccb23c0
Will I lose my work in Codespaces if I leave it uncommitted?,610ccb23c0
Why does WSL2 say the model needs more memory than available even though my PC has enough RAM?,f3dd94f323
How can I give WSL2 more RAM on Windows so the model stops failing with the memory error?,f3dd94f323
Where do I put the `.wslconfig` file to change WSL2 memory allocation?,f3dd94f323
"What should I write inside `.wslconfig` to allocate, say, 8 GB to WSL2?",f3dd94f323
"After changing WSL2 RAM settings, how do I restart it and check that the new memory limit is active?",f3dd94f323
My Codespace is stuck on Finishing up and never opens — is there a fix?,830f3d2018
What should I try if GitHub Codespaces won’t reconnect at all?,830f3d2018
Why did my files or setup disappear after restarting a Codespace?,830f3d2018
Do I need to save or commit everything before stopping a Codespace?,830f3d2018
"If Codespaces keeps acting weird, can I just do the course locally instead?",830f3d2018
Can I use a different LLM provider instead of OpenAI in this module?,c6ff9083c0
"If OpenAI is blocked where I live, what’s the easiest workaround for the course code?",c6ff9083c0
"Do providers like Groq, OpenRouter, or DeepSeek work with the same OpenAI client setup?",c6ff9083c0
Can I run the model locally with Ollama or vLLM and still follow the course?,c6ff9083c0
What do I need to change in the code if I switch to another API or endpoint?,c6ff9083c0
How can I stop getting 429 errors from OpenAI when I run notebooks that loop over a lot of docs?,8e21752415
What should I do if my OpenAI calls keep failing because of per-minute or per-day limits?,8e21752415
Is there a way to make retries handle temporary rate limits automatically in the OpenAI Python client?,8e21752415
How many workers should I use in a thread pool so I don't blow past the API limit?,8e21752415
"Do I need to re-run embeddings and LLM calls every time, or can I cache them somewhere and load them later?",8e21752415
"In agentic RAG, what exactly counts as a tool or function?",c296ea5a21
"Can I think of tools and functions as the same thing in this course, or is there a real difference?",c296ea5a21
What kinds of tasks would a model usually hand off to a tool instead of doing itself?,c296ea5a21
How are tools in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
"When does the model decide to call a tool, and why would it do that?",c296ea5a21
What free LLMs can I use if I need tool calling support for development?,0d74a3616f
"Does Groq have any models with tool use, like Deepseek R1 or Llama 4?",0d74a3616f
Which other providers besides OpenAI support tools or function calling?,0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my code?",0d74a3616f
Where can I read the docs for Groq tool use?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call the Responses API with a model that isn’t from OpenAI?,9e7b3f0c25
"Can I use `client.responses.create(...)` with Mistral, Groq, or Gemini, or is that only meant for OpenAI models?",9e7b3f0c25
What should I read from the response if I’m using chat completions instead of `response.output`?,9e7b3f0c25
How do I switch my code from the Responses API to chat completions for a third-party model?,9e7b3f0c25
"Do I need to change the tool schema when I move from OpenAI to another provider, or can I keep the same one?",9e7b3f0c25
I'm getting Error code 400 with Azure OpenAI saying `tools[0].function` is missing — what should I change in my weather tool JSON?,b9c7c6bb34
"Why does Azure OpenAI complain about a missing `function` field in `tools[0]`, and what's the correct format for `get_weather_tool`?",b9c7c6bb34
How do I rewrite my `get_weather_tool` object so Azure OpenAI accepts it without the 400 invalid request error?,b9c7c6bb34
What should the JSON for a weather function tool look like when using Azure OpenAI and function calling?,b9c7c6bb34
"Is there a proper example of `get_weather_tool` for Azure OpenAI that includes the `function`, `parameters`, and required `city` field?",b9c7c6bb34
Why do I get a 404 with toyaikit on Groq or another non-OpenAI provider?,0224d980b3
Which toyaikit runner/client should I use if I want Groq to work instead of OpenAI’s Responses API?,0224d980b3
How can I set up toyaikit with Anthropic Claude instead of OpenAI?,0224d980b3
Do I need a special base URL or API key when using Groq with the OpenAI-compatible client?,0224d980b3
"What’s the difference between runner.loop() and runner.run() in toyaikit, and which one should I use for a single prompt?",0224d980b3
Where do I actually find the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub repo link too?",53f15299b6
Can you point me to the exact page with the Module 1 homework instructions?,53f15299b6
"For submitting Module 1 homework, should I use the course platform or GitHub?",53f15299b6
Do the homework instructions have anything extra that isn't on the platform?,53f15299b6
Why am I getting an empty list back after filtering my query in homework question 3?,83da208a64
Could this be caused by how I indexed the data before running the filters?,83da208a64
Do I need to set the index settings first before loading the documents?,83da208a64
What should I check if my query filters return nothing even though the data is there?,83da208a64
Is the problem probably in the indexing step rather than in the query itself?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create(), and how can I fix it?",cfb07a27d5
Is there a specific max_output_tokens value I should pass for the Module 1 homework so OpenRouter stops rejecting my request?,cfb07a27d5
"In rag_helper.py, where should I add the output token limit for responses.create() so the homework runs on OpenRouter?",cfb07a27d5
"For the ToyAIKit question in Module 1, how do I set max_output_tokens when using OpenAIClient?",cfb07a27d5
"If I still see the 402 after setting a token limit, what should I check in my .env, model name, and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, do I need to build the search index from the original docs or from the split chunks?",b4300adeb1
What exactly does it mean to point RAG at the chunk index instead of the document index?,b4300adeb1
Should I call index.fit on documents or on chunks for the homework RAG setup?,b4300adeb1
Why does the homework say to use chunks in the index rather than the full records?,b4300adeb1
Does RAG retrieve the whole document or only the chunked parts when set up correctly?,b4300adeb1
"For the homework, do my answers have to match one of the choices exactly, or is the closest one okay?",5e4ca64cb5
"If my numeric result is a little off from the multiple-choice answers, should I still pick the nearest option?",5e4ca64cb5
What usually causes small differences between my homework answer and the listed options?,5e4ca64cb5
"My result is not exactly the same as any option, but it’s pretty close. Should I just go with the closest one?",5e4ca64cb5
"If my answer is way off from all the options, what should I check first in the homework?",5e4ca64cb5
"Where do I check the actual homework details for Module 1, the course page or GitHub?",7d3a2e3505
I’m confused by a homework task in Module 1 — what should I look at first to understand it better?,7d3a2e3505
"For the 2026 cohort, is there a separate place with the Module 1 materials and homework instructions?",7d3a2e3505
"If the homework wording doesn’t make sense, what’s the best way to ask for help in Slack?",7d3a2e3505
"Does Module 1 homework usually reuse the exact lesson task, or is it often a different dataset or slightly changed version?",7d3a2e3505
How should I count tokens for the Module 1 homework if I'm using a provider that isn't OpenAI?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in the homework?",fe8fed31e6
Where do I find the token count in the response when my client is OpenAI-compatible?,fe8fed31e6
What should I do if my model provider doesn't show any usage or token info in the response?,fe8fed31e6
"For the multiple-choice questions, how exact does the token count need to be if the tokenizer is different?",fe8fed31e6
"Why does my homework link get rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to access it?,bcdb8740ce
"Should I submit the repo URL with `.git` at the end, or just the normal GitHub link?",bcdb8740ce
How can I quickly test whether my homework repository is reachable by the grader?,bcdb8740ce
What are the most common reasons a homework submission URL is not publicly accessible?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we turn text into numbers?",69430a79a8
How does an embedding keep the meaning or context of the original data?,69430a79a8
Why should similar pieces of text end up with similar vectors after embedding?,69430a79a8
How do those numbers help with finding semantically similar documents or queries?,69430a79a8
Is an embedding the same thing as dimensionality reduction or the vector space model?,69430a79a8
"How can I get rid of the warning about the ""multi-qa-mpnet-base-dot-v1"" model being made on sentence transformers v3 beta?",aa3f597424
I'm seeing a message that says the model was made on sentence-transformers v3.0.0 beta — what should I update to suppress it?,aa3f597424
What do I need to install so the sentence-transformers warning for multi-qa-mpnet-base-dot-v1 goes away?,aa3f597424
"Is there a fix for the beta warning from ""multi-qa-mpnet-base-dot-v1"" in vector search?",aa3f597424
"Do I just need a newer sentence-transformers version to stop that model warning, and if so, which one?",aa3f597424
"Why did the lesson use dot product for cosine similarity, but the homework says to normalize first?",92cd22cada
"Are the embeddings from the lesson already unit vectors, or do we have to normalize them ourselves?",92cd22cada
"With TF-IDF plus SVD in the homework, can I just use dot(...) like in the lesson?",92cd22cada
When is dot product the same as cosine similarity in vector search?,92cd22cada
Why does normalization matter for classic embeddings but not for the model used in the lesson?,92cd22cada
"For vector search in this assignment, do I need to embed just the answer, just the question, or both together?",5c4a8d2e60
"Is there a best way to build the text for embeddings: question only, answer only, or question plus answer?",5c4a8d2e60
"Should I index the `text` field alone, or the `question` field alone, when I set up semantic search?",5c4a8d2e60
What are the pros and cons of embedding `question + text` instead of only one of them?,5c4a8d2e60
How do I decide which embedding setup works best for my dataset in this vector search task?,5c4a8d2e60
How does cosine similarity compare two vectors in text search?,db78580409
Why is cosine similarity useful when comparing documents or embeddings?,db78580409
"What does it mean if cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity be used only with non-zero vectors?,db78580409
How do word counts or TF-IDF values affect cosine similarity between documents?,db78580409
Why does cosine similarity turn into a plain dot product after normalizing the embeddings and the query vector?,95feb4e75b
How does using unit-length vectors make cosine similarity easier to compute with matrix multiplication?,95feb4e75b
"If the vectors are already normalized, why do we not need the full cosine formula anymore?",95feb4e75b
What is the benefit of comparing embeddings with a dot product instead of calculating cosine similarity separately for each one?,95feb4e75b
How does matrix multiplication help us find the most similar document embeddings to a query in vector search?,95feb4e75b
"For Module 2, do I have to make another GitHub repository, or can I just open a fresh codespace from the same repo?",1e829a8c6f
Why does the course recommend a separate codespace for the vector search module instead of using the one from Module 1?,1e829a8c6f
"If I already have my repo from earlier modules, is there any reason to create a brand-new GitHub repo just for Module 2?",1e829a8c6f
What happens if I finish the vector-search part and then delete the codespace — do I lose my work if I didn’t commit it?,1e829a8c6f
"Is the setup for the Module 2 environment supposed to be quick, and can I simply stop or remove that codespace when I’m done?",1e829a8c6f
Why is download.py stuck at 0% when trying to get model.onnx from HuggingFace?,29b69fbe0b
Could a blocked or slow HuggingFace CDN make the model download hang forever?,29b69fbe0b
Is there a manual way to grab model.onnx if the script keeps freezing at the start?,29b69fbe0b
Where should I place model.onnx so download.py stops trying to fetch it again?,29b69fbe0b
Does download.py skip the download if model.onnx is already saved locally?,29b69fbe0b
"Why does the vector search dot-product from NumPy and the same thing with a loop not match exactly, even though they should be the same?",e889793af9
"In the vector search lesson, why can `X.dot(v_query)` and the for-loop version give slightly different scores?",e889793af9
I compared the matrix version of scoring with the loop version and `np.allclose` was false — is something broken or is this normal?,e889793af9
Why do two ways of computing dot products in vector search end up with tiny differences in the last decimals?,e889793af9
How should I check that the matrix and loop implementations of vector search are actually equivalent if the numbers are not identical?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in vector search?,1a7b27c4df
Could this error happen because the embeddings count doesn't match the number of chunks?,1a7b27c4df
How should I build embeddings from chunks so that the rows line up correctly?,1a7b27c4df
Is it wrong if I generate vectors from something other than the chunk list itself?,1a7b27c4df
What is the proper way to make sure `X` has the same length as `chunks`?,1a7b27c4df
Why doesn’t my Q2 cosine similarity match any choice in the Module 2 homework?,eaa17a9dc6
"Do I need to use the ONNX Embedder for Homework 2, or can I just use sentence-transformers?",eaa17a9dc6
Could my cosine score be off because I embedded the wrong thing instead of the page text?,eaa17a9dc6
Is it okay if my similarity is a bit different from the listed options in Q2?,eaa17a9dc6
"Should I compare the page vector to the query from Q1, and are the vectors already normalized?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily API keys so Kestra can actually use them?",3860e5fe8b
"Why does Kestra want base64-encoded env vars with the SECRET_ prefix, and how should I export them before starting the app?",3860e5fe8b
"Do I need both GEMINI_API_KEY and SECRET_GEMINI_API_KEY for the orchestration module, or is one of them enough?",3860e5fe8b
"In a Kestra flow, what’s the right way to reference a secret without including SECRET_ in the name?",3860e5fe8b
"After changing the API key environment variables, do I need to restart Docker Compose or Kestra for the new values to take effect?",3860e5fe8b
Why does Kestra AI Copilot keep saying it can only help create Kestra flows?,04440cab11
What key do I need to set so the Kestra Copilot stops giving that canned refusal?,04440cab11
Do I have to use `GEMINI_API_KEY` or `SECRET_GEMINI_API_KEY` for the Copilot in Kestra?,04440cab11
"I already set the Gemini key, but the Copilot still fails — what should I check?",04440cab11
"Could the Copilot be failing because of quota or rate limits, and how do I restart it after fixing the key?",04440cab11
Why does Kestra say my Gemini key is invalid even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a bad base64 encode make the secret fail in my Kestra flow?,c8ca21af33
Do I need to restart Kestra after exporting the API key env vars?,c8ca21af33
"In the flow, should I use SECRET_GEMINI_API_KEY or secret('GEMINI_API_KEY')?",c8ca21af33
"What’s the best way to load the key for Kestra, shell export or a .env file?",c8ca21af33
Why do we need an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
"A notebook can run code, so what extra stuff does Kestra handle in a real AI workflow?",193612db63
Why is orchestration important if the script already works once in a notebook?,193612db63
"In this module, why are we using Kestra as the base for the AI examples instead of plain Python cells?",193612db63
"Can Kestra work with different AI providers, or do I need to rewrite the flow each time I switch?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for that module?",cce328db64
"For the final project, can I build the pipeline with Airflow, Prefect, Dagster, or even just Python?",cce328db64
"If I already know Airflow, is it still worth doing the Kestra exercises in Module 3?",cce328db64
Will I lose points in the capstone if I don’t use an orchestrator at all?,cce328db64
"Can Kestra AI flows work with providers like OpenAI, Gemini, or Anthropic without rewriting the flow?",cce328db64
"Besides Gemini, what AI providers can I plug into Kestra, and does it work with local models too?",f442efe5b4
Can I swap Kestra to Groq or Ollama without rewriting the whole flow?,f442efe5b4
"Is Kestra limited to one model vendor, or can it use any OpenAI-compatible API?",f442efe5b4
"Why does the course stick with Gemini if Kestra also supports OpenAI, Anthropic, xAI, and others?",f442efe5b4
What’s the difference between the generic AI plugin and the provider-specific ones in Kestra?,f442efe5b4
Is there a way to build a Kestra flow without hand-writing YAML or any code at all?,bfe5502c30
What options does Kestra have for people who want a no-code setup instead of editing workflow files?,bfe5502c30
"Can Kestra's AI Copilot create a workflow from plain English, and can I keep refining it with extra prompts?",bfe5502c30
Are there tools like Claude Code or Codex that can generate Kestra flows from my editor and send them straight into Kestra?,bfe5502c30
"For simple automations, should I use Kestra or is something like Zapier or n8n easier and cheaper?",bfe5502c30
Why do AI-generated Kestra YAML files sometimes include fake properties like bucket or name that Kestra doesn't accept?,93a3e8b98c
How can I check whether the Kestra flow YAML I got from ChatGPT is actually valid for my plugin version?,93a3e8b98c
What is the right way to configure a GCS upload in Kestra instead of using bucket and name fields?,93a3e8b98c
