question,answer_llm,answer_orig,document
What does it mean when the homework title has [DRAFT] in it?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How do I know when a homework assignment is actually ready?,"The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

If the title still has `[DRAFT]`, it is not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can I start doing the homework if the form is already open but the title still says [DRAFT]?,"Yes — if the homework submission form is open, you can start working on it even if the title still says `[DRAFT]`, but it’s at your own risk because the content may still change.

The homework is considered ready only when:
- the form is open, and
- the title no longer contains `[DRAFT]`.

","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Is it safe to work on homework early, or can the final version still change later?","Yes — it’s at your own risk to work on homework early, because the final version can still change later. The homework is only considered ready when the form is open and the title does not contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be offered?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know when the next run of the course starts?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a planned offering of this course in summer 2027?,Yes — the course is planned to be offered in summer 2027.,Summer 2027.,bd31146b0e
When can I expect this course to be available again?,I don't know.,Summer 2027.,bd31146b0e
What's the next scheduled session for this course?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the lecture videos for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant **videos linked at the top**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main page or repo I should use to get to the lessons and videos?,"Yes — use the **LLM Zoomcamp GitHub repository** as the main entry point:

https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there, and each lesson page has the relevant videos linked at the top. If anything is unclear, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson folders in the GitHub repo include the video links, or do I need to search YouTube separately?","Yes — the lesson folders in the GitHub repo include the video links at the top of each lesson page. You don’t need to search YouTube separately, though the YouTube playlist can be used as a backup.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the best place to start if I want the most up-to-date LLM Zoomcamp lectures?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there—each lesson page has the relevant videos linked at the top. When in doubt, follow the GitHub repo first, because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Are the videos posted somewhere inside each lesson page in the course repo?,Yes. Each lesson page in the GitHub repo has the relevant videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where should I go to see the LLM Zoomcamp syllabus and keep track of the current cohort structure?,"Go to the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the **current cohort structure**, along with the **syllabus, homework, deadlines, and progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Is there one platform for homework, deadlines, and progress tracking in LLM Zoomcamp?","Yes. Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the course structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I follow the course schedule and check what’s due next in LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform** to follow the syllabus, deadlines, homework, and progress:

- Course platform: https://courses.datatalks.club/llm-zoomcamp-2026/

To follow the weekly workflow, the typical order is:

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform before the deadline

You can also start anytime, since the videos and GitHub materials are available.

If you want to check what’s due next, the course management platform is the place to look.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What’s the official place to monitor my progress and homework for this Zoomcamp?,"Use the **LLM Zoomcamp course management platform** to monitor your progress, homework, deadlines, and syllabus:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do I need a separate site, or is there a course management platform for all LLM Zoomcamp updates?","You don’t need a separate site. There is a course management platform for all LLM Zoomcamp updates:

https://courses.datatalks.club/llm-zoomcamp-2026/

It includes the syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live office hours for every module in LLM Zoomcamp, or are the lessons just pre-recorded?","The lessons are pre-recorded by default, and there are no separate live sessions or office hours for every module.

Live sessions are announced separately when they happen. If you need help, you should ask in Slack and follow the asking questions guidelines. There is also optional extra support through AI Shipping Labs, which includes regular Zoom office hours, but that is a paid community and not part of the free course.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If there isn’t a live session for a module, where should I ask for help when I’m stuck?",Ask in **Slack** and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How do I know when a live session is happening for the course?,"Live sessions are announced separately when they happen. You should check the announcements channel on Telegram and Slack, and the video link is posted there before the session starts. You can also watch live on the DataTalksClub YouTube channel.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any extra paid option that includes regular Zoom office hours and more support?,Yes — **AI Shipping Labs** is an optional **paid community** that includes **regular Zoom office hours** and **additional structure/support**. The main course content remains free.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
